family,scenario,mode,algo,model,source_log,episodes,success_rate,collision_rate,timeout_rate,invalid_route_rate,repaired_route_rate,strict_llm_plan_valid_rate,repairable_llm_plan_rate,mean_reward,mean_steps_all,mean_steps_success,median_steps_success,mean_final_distance,mean_path_length_all,mean_path_length_success,mean_trajectory_turns,mean_shield_interventions,mean_subgoals_reached,mean_route_len,mean_route_distance,mean_route_turns,mean_route_clearance_penalty,mean_route_execution_score,mean_planned_semantic_cost,mean_trajectory_semantic_cost,mean_semantic_cost,llm_raw_used_rate,llm_overridden_rate,constraint_success_rate,safe_success_rate
ablation,long_horizon,no_semantic_term,sac,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_long_horizon_sac_no_semantic_term_100ep.log,100.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation,long_horizon,full,sac,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_long_horizon_sac_full_100ep.log,100.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,FacebookAI__roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_long_horizon_sac_FacebookAI__roberta-base_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,FacebookAI__roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_151448/hf_long_horizon_sac_FacebookAI__roberta-base_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,FacebookAI__xlm-roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_long_horizon_sac_FacebookAI__xlm-roberta-base_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,FacebookAI__xlm-roberta-base,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_151448/hf_long_horizon_sac_FacebookAI__xlm-roberta-base_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,HuggingFaceTB__SmolLM2-1.7B,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_long_horizon_sac_HuggingFaceTB__SmolLM2-1.7B_100ep.log,100.0,0.4,0.0,0.6,0.0,0.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.42,0.58,0.0,0.0
hf,long_horizon,hf,sac,Qwen__Qwen2.5-0.5B,paper_a_experiments_desktop/logs/eval/hf_all_models_20260531_165543/hf_long_horizon_sac_Qwen__Qwen2.5-0.5B_100ep.log,100.0,0.4,0.0,0.6,0.0,0.07,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.08,0.85,0.0,0.0
hf,long_horizon,hf,sac,Qwen__Qwen2.5-1.5B,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_sac_Qwen__Qwen2.5-1.5B_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,TinyLlama__TinyLlama-1.1B-base,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_sac_TinyLlama__TinyLlama-1.1B-base_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,albert__albert-base-v2,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_sac_albert__albert-base-v2_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,distilbert__distilbert-base-uncased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_sac_distilbert__distilbert-base-uncased_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,google-bert__bert-base-multilingual-cased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_sac_google-bert__bert-base-multilingual-cased_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,google-bert__bert-base-uncased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_sac_google-bert__bert-base-uncased_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,google__mobilebert-uncased,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_sac_google__mobilebert-uncased_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,huawei-noah__TinyBERT_General_4L_312D,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_sac_huawei-noah__TinyBERT_General_4L_312D_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,openai-community__gpt2,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_sac_openai-community__gpt2_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hf,long_horizon,hf,sac,openai-community__gpt2-medium,paper_a_experiments_desktop/logs/eval/hf_resume_safe_20260601_012009/hf_long_horizon_sac_openai-community__gpt2-medium_100ep.log,100.0,0.4,0.0,0.6,0.0,1.0,0.0,1.0,1238.973,467.81,499.025,488.0,6.002,11.726,15.713,1.13,34.42,5.32,8.19,17.049,0.93,0.188,22.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation,semantic_constraint,no_clearance_term,ppo,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_semantic_constraint_ppo_no_clearance_term_100ep.log,100.0,0.59,0.0,0.41,0.0,0.0,0.0,0.0,1341.474,452.43,464.322,450.0,3.771,12.466,15.284,1.54,83.12,6.1,7.65,15.667,0.97,0.166,22.477,0.477,0.06,0.06,0.0,0.0,1.0,0.59
ablation,semantic_constraint,shortest_only,ppo,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_semantic_constraint_ppo_shortest_only_100ep.log,100.0,0.61,0.0,0.39,0.0,0.0,0.0,0.0,1231.545,436.83,439.607,420.0,3.577,12.02,14.45,1.31,82.16,5.8,7.21,14.792,0.84,0.196,14.792,1.08,0.121,0.121,0.0,0.0,1.0,0.61
ablation,semantic_constraint,no_semantic_term,ppo,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_semantic_constraint_ppo_no_semantic_term_100ep.log,100.0,0.61,0.0,0.39,0.0,0.0,0.0,0.0,1247.43,437.3,440.377,420.0,3.577,12.036,14.476,1.28,82.11,5.63,7.04,14.836,0.81,0.187,20.069,0.954,0.114,0.114,0.0,0.0,1.0,0.61
ablation,semantic_constraint,full,ppo,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_semantic_constraint_ppo_full_100ep.log,100.0,0.59,0.0,0.41,0.0,0.0,0.0,0.0,1580.306,451.74,468.424,452.0,3.689,12.712,15.421,1.64,74.51,6.24,7.76,15.894,0.96,0.151,23.572,0.436,0.056,0.056,0.0,0.0,1.0,0.59
ablation,semantic_constraint,no_turn_term,ppo,,paper_a_experiments_desktop/logs/eval/remaining_all_20260531_035541/ablation_semantic_constraint_ppo_no_turn_term_100ep.log,100.0,0.61,0.0,0.39,0.0,0.0,0.0,0.0,1776.203,452.47,473.131,462.0,3.535,12.977,15.559,1.66,68.03,6.56,8.02,16.021,1.14,0.153,21.7,0.361,0.044,0.044,0.0,0.0,1.0,0.61
